,country,continent,population,day,active_cases,critical_cases,total_cases,recovered_cases,1M_pop_cases,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests
95,Indonesia,Asia,279134505.0,2025-07-28,20054.0,55.32692307692308,6829221.0,6647104.0,24466.0,581.0,162063.0,408975.0,114158919.0
96,Iran,Asia,86022837.0,2025-07-28,33602.818681318684,55.32692307692308,7627186.0,3097055.0276243095,88665.0,1707.0,146811.0,666338.0,57320267.0
97,Iraq,Asia,42164965.0,2025-07-28,673.0,55.32692307692308,2465545.0,2439497.0,58474.0,602.0,25375.0,463523.0,19544451.0
98,Ireland,Europe,5020199.0,2025-07-28,170.0,19.0,1734582.0,1724921.0,345521.0,1891.0,9491.0,2606161.0,13083449.0
99,Isle-of-Man,Europe,85732.0,2025-07-28,33602.818681318684,55.32692307692308,38008.0,3097055.0276243095,443335.0,1353.0,116.0,1758422.0,150753.0
100,Israel,Asia,9326000.0,2025-07-28,30592.0,55.32692307692308,4841772.0,4798473.0,519169.0,1363.0,12707.0,4436346.0,41373364.0
101,Italy,Europe,60262770.0,2025-07-28,165544.0,22.0,26723249.0,26361218.0,443445.0,3261.0,196487.0,4665010.0,281126449.0
102,Ivory-Coast,Africa,27742298.0,2025-07-28,52.0,55.32692307692308,88384.0,87497.0,3186.0,30.0,835.0,60951.0,1690934.0
103,Jamaica,North-America,2985094.0,2025-07-28,33602.818681318684,55.32692307692308,156869.0,3097055.0276243095,52551.0,1258.0,3756.0,396633.0,1183986.0
104,Japan,Asia,125584838.0,2025-07-28,33602.818681318684,55.32692307692308,33803572.0,3097055.0276243095,269169.0,595.0,74694.0,799578.0,100414883.0
105,Jordan,Asia,10300869.0,2025-07-28,1868.0,59.0,1746997.0,1731007.0,169597.0,1371.0,14122.0,1669945.0,17201885.0
106,Kazakhstan,Asia,19205043.0,2025-07-28,14963.0,24.0,1411831.0,1383020.0,73514.0,721.0,13848.0,602707.0,11575012.0
107,Kenya,Africa,56215221.0,2025-07-28,1132.0,55.32692307692308,344130.0,337309.0,6122.0,101.0,5689.0,70569.0,3967062.0
108,Kiribati,Oceania,123419.0,2025-07-28,2358.0,3.0,5085.0,2703.0,41201.0,194.0,24.0,2155977.8779342724,32988287.854460094
109,Kuwait,Asia,4380326.0,2025-07-28,33602.818681318684,55.32692307692308,667158.0,3097055.0276243095,152308.0,587.0,2570.0,1930391.0,8455743.0
110,Kyrgyzstan,Asia,6728271.0,2025-07-28,7500.0,131.0,206897.0,196406.0,30750.0,445.0,2991.0,283460.0,1907195.0
111,Laos,Asia,7481023.0,2025-07-28,33602.818681318684,55.32692307692308,218970.0,3097055.0276243095,29270.0,101.0,758.0,164845.0,1233207.0
112,Latvia,Europe,1848837.0,2025-07-28,4384.0,55.32692307692308,982505.0,971406.0,531418.0,3632.0,6715.0,4265272.0,7885792.0
113,Lebanon,Asia,6684849.0,2025-07-28,145299.0,74.0,1243838.0,1087587.0,186068.0,1638.0,10952.0,717380.0,4795578.0
114,Lesotho,Africa,2175699.0,2025-07-28,9435.0,55.32692307692308,36138.0,25980.0,16610.0,332.0,723.0,198199.0,431221.0
